INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000001', 'RD001', TO_TIMESTAMP('2025-05-20 20:15', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-05-21 00:29', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD001', 1541.48, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000012', 'RD012', TO_TIMESTAMP('2025-03-11 19:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-11 21:00', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD012', 1157.25, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000013', 'RD013', TO_TIMESTAMP('2025-05-06 08:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-05-06 13:54', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD013', 970.61, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000014', 'RD014', TO_TIMESTAMP('2025-04-27 08:30', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-04-27 16:30', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD014', 696.44, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000015', 'RD015', TO_TIMESTAMP('2025-05-10 10:45', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-05-10 16:57', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD015', 876.67, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000016', 'RD016', TO_TIMESTAMP('2025-05-16 11:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-05-16 13:03', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD016', 614.83, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000017', 'RD017', TO_TIMESTAMP('2025-03-21 12:15', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-21 19:31', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD017', 1858.93, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000018', 'RD018', TO_TIMESTAMP('2025-03-08 12:45', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-08 16:49', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD018', 633.66, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000019', 'RD019', TO_TIMESTAMP('2025-05-04 07:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-05-04 14:33', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD019', 391.34, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000020', 'RD020', TO_TIMESTAMP('2025-05-22 06:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-05-22 09:38', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD020', 1627.05, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000021', 'RD021', TO_TIMESTAMP('2025-04-26 15:30', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-04-26 21:53', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD021', 1900.23, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000022', 'RD022', TO_TIMESTAMP('2025-04-18 15:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-04-18 21:34', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD022', 868.31, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000023', 'RD023', TO_TIMESTAMP('2025-04-21 08:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-04-21 14:30', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD023', 1387.51, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000024', 'RD024', TO_TIMESTAMP('2025-05-18 15:45', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-05-18 21:41', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD024', 604.96, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000025', 'RD025', TO_TIMESTAMP('2025-04-17 11:30', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-04-17 15:10', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD025', 988.62, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000026', 'RD026', TO_TIMESTAMP('2025-05-01 16:30', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-05-01 19:01', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD026', 1716.32, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000027', 'RD027', TO_TIMESTAMP('2025-05-26 09:30', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-05-26 15:11', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD027', 983.1, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000028', 'RD028', TO_TIMESTAMP('2025-04-24 17:30', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-04-24 21:17', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD028', 1251.79, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000029', 'RD029', TO_TIMESTAMP('2025-05-24 17:15', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-05-24 19:19', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD029', 1097.78, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000030', 'RD030', TO_TIMESTAMP('2025-03-07 08:45', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-07 11:23', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD030', 1550.36, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000031', 'RD031', TO_TIMESTAMP('2025-04-15 20:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-04-15 22:28', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD031', 1541.44, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000032', 'RD032', TO_TIMESTAMP('2025-05-28 07:45', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-05-28 14:29', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD032', 1636.16, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000033', 'RD033', TO_TIMESTAMP('2025-03-06 20:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-07 02:30', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD033', 1949.54, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000034', 'RD034', TO_TIMESTAMP('2025-04-17 06:15', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-04-17 13:20', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD034', 1250.35, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000035', 'RD035', TO_TIMESTAMP('2025-04-08 11:30', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-04-08 13:33', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD035', 1868.25, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000036', 'RD036', TO_TIMESTAMP('2025-05-05 06:45', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-05-05 13:19', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD036', 1052.15, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000037', 'RD037', TO_TIMESTAMP('2025-03-13 12:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-13 15:11', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD037', 1498.35, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000038', 'RD038', TO_TIMESTAMP('2025-03-28 09:30', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-28 13:48', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD038', 922.49, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000039', 'RD039', TO_TIMESTAMP('2025-03-25 13:45', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-25 15:55', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD039', 1777.21, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000040', 'RD040', TO_TIMESTAMP('2025-04-27 14:45', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-04-27 21:50', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD040', 1770.6, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000041', 'RD041', TO_TIMESTAMP('2025-03-13 07:45', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-13 15:08', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD041', 1011.29, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000042', 'RD042', TO_TIMESTAMP('2025-05-04 11:15', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-05-04 18:19', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD042', 1721.86, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000043', 'RD043', TO_TIMESTAMP('2025-04-04 13:15', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-04-04 18:25', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD043', 963.57, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000044', 'RD044', TO_TIMESTAMP('2025-05-25 08:15', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-05-25 15:42', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD044', 618.98, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000045', 'RD045', TO_TIMESTAMP('2025-03-17 10:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-17 16:49', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD045', 986.72, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000046', 'RD046', TO_TIMESTAMP('2025-04-03 15:15', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-04-03 20:30', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD046', 896.16, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000047', 'RD047', TO_TIMESTAMP('2025-04-19 08:30', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-04-19 12:18', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD047', 628.37, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000048', 'RD048', TO_TIMESTAMP('2025-04-18 18:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-04-18 21:48', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD048', 1327.79, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000049', 'RD049', TO_TIMESTAMP('2025-05-06 17:30', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-05-06 20:09', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD049', 948.87, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000050', 'RD050', TO_TIMESTAMP('2025-03-20 08:30', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-20 13:41', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD050', 1344.64, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000051', 'RD051', TO_TIMESTAMP('2025-04-20 11:45', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-04-20 16:22', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD051', 1724.94, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000052', 'RD052', TO_TIMESTAMP('2025-04-29 17:45', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-04-29 22:01', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD052', 914.59, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000053', 'RD053', TO_TIMESTAMP('2025-03-17 18:45', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-18 00:14', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD053', 590.34, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000054', 'RD054', TO_TIMESTAMP('2025-03-07 20:15', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-08 04:01', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD054', 1058.2, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000055', 'RD055', TO_TIMESTAMP('2025-03-23 07:15', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-23 14:27', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD055', 1885.09, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000056', 'RD056', TO_TIMESTAMP('2025-05-27 18:15', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-05-27 22:18', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD056', 1025.42, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000057', 'RD057', TO_TIMESTAMP('2025-04-27 15:15', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-04-27 19:13', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD057', 758.38, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000058', 'RD058', TO_TIMESTAMP('2025-05-06 14:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-05-06 17:39', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD058', 906.19, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000059', 'RD059', TO_TIMESTAMP('2025-05-23 07:45', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-05-23 13:28', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD059', 1460.81, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000060', 'RD060', TO_TIMESTAMP('2025-03-05 08:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-05 15:15', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD060', 1554.72, SYSTIMESTAMP, SYSTIMESTAMP);
